schema,question,chosen
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have a manager with ID less than 57?,SELECT department_name FROM departments WHERE manager_id < 57
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What is the average age of employees in Marketing?,"SELECT AVG(age) FROM employees WHERE department = ""Marketing"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2019?,SELECT project_name FROM projects WHERE start_year < 2019
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What employees joined after 2001?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What is the average age of employees in Sales?,"SELECT AVG(age) FROM employees WHERE department = ""Sales"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",How many projects started in 2010?,SELECT project_name FROM projects WHERE start_year < 2010
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have a manager with ID less than 204?,SELECT department_name FROM departments WHERE manager_id < 204
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have a manager with ID less than 52?,SELECT department_name FROM departments WHERE manager_id < 52
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees were present on Thursday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Thursday"" AND status = ""Present"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have more than 11 employees?,INVALID QUERY
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees were present on Friday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Friday"" AND status = ""Present"""
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 2 employees?,INVALID QUERY
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2003?,SELECT project_name FROM projects WHERE start_year < 2003
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Who are the employees in the IT department?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees were present on Thursday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Thursday"" AND status = ""Present"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have more than 19 employees?,INVALID QUERY
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have more than 6 employees?,INVALID QUERY
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have a manager with ID less than 122?,SELECT department_name FROM departments WHERE manager_id < 122
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Who are the employees in the Sales department?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have more than 14 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2017?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have more than 16 employees?,INVALID QUERY
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees were present on Thursday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Thursday"" AND status = ""Present"""
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What is the average age of employees in Sales?,"SELECT AVG(age) FROM employees WHERE department = ""Sales"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What projects started before 2009?,SELECT project_name FROM projects WHERE start_year < 2009
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What is the average age of employees in Finance?,"SELECT AVG(age) FROM employees WHERE department = ""Finance"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have more than 18 employees?,INVALID QUERY
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Who are the employees in the Finance department?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees were present on Friday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Friday"" AND status = ""Present"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have more than 2 employees?,INVALID QUERY
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What is the average age of employees in Marketing?,"SELECT AVG(age) FROM employees WHERE department = ""Marketing"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have a manager with ID less than 256?,SELECT department_name FROM departments WHERE manager_id < 256
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have a manager with ID less than 160?,SELECT department_name FROM departments WHERE manager_id < 160
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2017?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have a manager with ID less than 151?,SELECT department_name FROM departments WHERE manager_id < 151
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have a manager with ID less than 273?,SELECT department_name FROM departments WHERE manager_id < 273
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have a manager with ID less than 50?,SELECT department_name FROM departments WHERE manager_id < 50
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 14 employees?,INVALID QUERY
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2017?,SELECT project_name FROM projects WHERE start_year < 2017
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have more than 12 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have more than 18 employees?,INVALID QUERY
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",How many projects started in 2022?,SELECT project_name FROM projects WHERE start_year < 2022
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What employees joined after 2010?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees have a bonus less than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees have a bonus less than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees were present on Thursday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Thursday"" AND status = ""Present"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What is the average age of employees in Sales?,"SELECT AVG(age) FROM employees WHERE department = ""Sales"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees were present on Monday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Monday"" AND status = ""Present"""
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 6 employees?,INVALID QUERY
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What employees joined after 2010?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2005?,SELECT project_name FROM projects WHERE start_year < 2005
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What is the average age of employees in Finance?,"SELECT AVG(age) FROM employees WHERE department = ""Finance"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",How many projects started in 2003?,SELECT project_name FROM projects WHERE start_year < 2003
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What is the average age of employees in Sales?,"SELECT AVG(age) FROM employees WHERE department = ""Sales"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in Marketing?,"SELECT AVG(age) FROM employees WHERE department = ""Marketing"""
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
